comparison_id,dataset,claim_role,candidate,baseline,metric,direction,n_pairs,candidate_mean,baseline_mean,mean_improvement,relative_improvement_percent,win_rate,tie_rate,sign_test_p,bootstrap95_low,bootstrap95_high
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,iou,higher,284,0.8596445958370524,0.8564167777504077,0.0032278180866447477,0.3768980443287691,0.35563380281690143,0.43309859154929575,0.0016191119156048206,0.00033247653909028826,0.0061245973715829604
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,f1,higher,284,0.9063591585164482,0.9039061963470425,0.002452962169405649,0.2713735318242987,0.35563380281690143,0.43309859154929575,0.0016191119156048206,0.00016308520166688058,0.00489306973347623
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_1,higher,284,0.9158089988611942,0.9023517205406133,0.013457278320580829,1.4913561989462778,0.4507042253521127,0.3767605633802817,4.5501932222080654e-09,0.007503506701725673,0.01878940038612421
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_2,higher,284,0.9325964880336253,0.919605745916978,0.012990742116647306,1.4126425562612905,0.4471830985915493,0.3767605633802817,1.1132199495555994e-08,0.00709986236757026,0.018559496744894217
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_3,higher,284,0.9421024865643669,0.9306969215276955,0.011405565036671414,1.2254864900541105,0.45774647887323944,0.3767605633802817,7.115553701808608e-10,0.005932508006750087,0.01686681408461978
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_5,higher,284,0.9515157122763385,0.9418633272543797,0.009652385021958768,1.0248180115576193,0.4507042253521127,0.3767605633802817,4.5501932222080654e-09,0.004721114944606255,0.014782305079984275
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,chamfer,lower,283,4.058848520274883,5.585377791206333,1.5265292709314495,27.3308149958062,0.4452296819787986,0.3745583038869258,2.6642434702850437e-08,0.6752190772344308,2.460463953438087
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,hausdorff,lower,283,60.00277648342917,67.02869162008119,7.025915136652017,10.481951783386917,0.3215547703180212,0.4452296819787986,0.05544042509367053,2.590105327053051,12.0322702490088
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,broken_segments,lower,284,16.116197183098592,27.901408450704224,11.785211267605634,42.23876829883898,0.3908450704225352,0.5352112676056338,9.43689570931383e-15,7.753521126760563,16.464788732394368
gf6_topoiwl_vs_mobilenetv3_unet,GF6_TCUNet,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,abs_component_diff,lower,284,15.028169014084508,17.172535211267604,2.1443661971830985,12.487184744720116,0.31338028169014087,0.5,0.0033126012762515478,-0.02112676056338028,4.028169014084507
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,iou,higher,317,0.9801559840774757,0.9801589731142051,-2.98903672940399e-06,-0.0003049542789887531,0.526813880126183,0.0,0.3688393676529088,-0.0020178856448998398,0.00195219674321565
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,f1,higher,317,0.9892110865902526,0.9893070449605612,-9.595837030872191e-05,-0.00969955392489369,0.526813880126183,0.0,0.3688393676529088,-0.0013208905295007988,0.0010109157924383795
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_1,higher,317,0.6758437309842892,0.4319852526713659,0.24385847831292323,56.45064890639665,0.9968454258675079,0.0,0.0,0.2337962266713993,0.2534303441329456
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_2,higher,317,0.8336234998134762,0.558541828835754,0.2750816709777221,49.249967822662974,0.9936908517350158,0.0,0.0,0.26375593291804994,0.2866858896867529
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_3,higher,317,0.9077903509410097,0.6208797443534838,0.2869106065875259,46.210334480517346,0.9936908517350158,0.0,0.0,0.27531969949974955,0.2992971804536452
sealand_topoiwl_vs_mobilenetv3_unet,SeaLand_Coastline_2025,main_lightweight_comparison,TopoIWL-Net (MobileNetV3),MobileNetV3-UNet,bf1_5,higher,317,0.9462657058734782,0.6585470372664649,0.28771866860701334,43.68991921993797,0.9936908517350158,0.0,0.0,0.2751128295926704,0.2998004622270269
