dataset,analysis,radius_px,precision,recall,f1,selected_boundary_threshold
GF6_TCUNet,bf1_tolerance_radius,1,0.9191827784415368,0.9241501030358076,0.9161838793382548,0.6
GF6_TCUNet,bf1_tolerance_radius,2,0.9394075312607468,0.9352394440650884,0.9326441164817983,0.6
GF6_TCUNet,bf1_tolerance_radius,3,0.9505745469995964,0.9416477232789509,0.941949796642122,0.6
GF6_TCUNet,bf1_tolerance_radius,5,0.96105725368907,0.9488706638822731,0.9513215629561989,0.6
GF6_TCUNet,bf1_tolerance_radius,7,0.9661153603988246,0.9527918646002838,0.9561448517415692,0.6
GF6_TCUNet,bf1_tolerance_radius,10,0.9714439402440784,0.9573776167140255,0.961465940633588,0.6
GF6_TCUNet,buffered_topology_radius,1,0.9191827784415368,0.9241501030358076,0.9161838793382548,0.6
GF6_TCUNet,buffered_topology_radius,2,0.9394075312607468,0.9352394440650884,0.9326441164817983,0.6
GF6_TCUNet,buffered_topology_radius,3,0.9483151927934612,0.9407241318202094,0.940296351683568,0.6
GF6_TCUNet,buffered_topology_radius,5,0.9584261721065545,0.9474482556583924,0.949230036495177,0.6
GF6_TCUNet,buffered_topology_radius,7,0.9641329242850886,0.9515556965183634,0.954448124099401,0.6
GF6_TCUNet,buffered_topology_radius,10,0.9693638171089088,0.9557021411230564,0.9594835485604146,0.6
SeaLand_Coastline_2025,bf1_tolerance_radius,1,0.5948442475621424,0.8594397662128909,0.7016610405321686,0.4
SeaLand_Coastline_2025,bf1_tolerance_radius,2,0.8172125104321258,0.9143156632986404,0.8616147324384049,0.4
SeaLand_Coastline_2025,bf1_tolerance_radius,3,0.9289450317204548,0.9383900596314784,0.9326601542345024,0.4
SeaLand_Coastline_2025,bf1_tolerance_radius,5,0.9754584870880078,0.9576298068606393,0.965615139634482,0.4
SeaLand_Coastline_2025,bf1_tolerance_radius,7,0.9823617362335576,0.9668398789131488,0.9737885455579864,0.4
SeaLand_Coastline_2025,bf1_tolerance_radius,10,0.9876256216657788,0.97728907291945,0.9818125479657768,0.4
SeaLand_Coastline_2025,buffered_topology_radius,1,0.5948442475621424,0.8594397662128909,0.7016610405321686,0.4
SeaLand_Coastline_2025,buffered_topology_radius,2,0.8172125104321258,0.9143156632986404,0.8616147324384049,0.4
SeaLand_Coastline_2025,buffered_topology_radius,3,0.9194441154628128,0.9352148199314868,0.9262257142205792,0.4
SeaLand_Coastline_2025,buffered_topology_radius,5,0.9718502776205982,0.9536405585413408,0.961782071409397,0.4
SeaLand_Coastline_2025,buffered_topology_radius,7,0.9810682894455132,0.9634961557207922,0.9714128784611716,0.4
SeaLand_Coastline_2025,buffered_topology_radius,10,0.9862511550899462,0.973538288255872,0.9791900418787164,0.4
