method,status,path,iou,f1,bf1_3,chamfer,hausdorff,broken_segments,pred_components,component_diff
DeepLabV3-MobileNet,ok,experiments/baseline_remote_glh_deeplabv3_mobilenet80/metrics_test_mask_boundary_val_best_bf1.csv,0.5307342194421857,0.5655646472913252,0.5630205548458729,37.96238472640111,83.00971719469743,15.686079545454545,1.6235795454545454,0.26704545454545453
TopoIWL-Net Full original,ok,experiments/remote_glh_mobilenetv3_full80/metrics_test_val_best_bf1.csv,0.5482917997188719,0.5866935634356143,0.4987429728875685,52.93022732252468,157.0529607247385,7.153409090909091,8.704545454545455,7.348011363636363
TopoIWL-Net continuity fusion,ok,experiments/remote_glh_mobilenetv3_boundary_metric50/fusion_metric_continuity_grid/metrics_test_fusion_val_best.csv,0.528611083455637,0.5643828758317814,0.6427270801059884,31.870810988021827,91.32641925463399,13.644886363636363,2.1392045454545454,0.7826704545454546
TopoIWL-Net robust postprocess v1c,ok,experiments/remote_glh_postprocess_composite_v1c_narrow_20260630/metrics_test_postprocess.csv,0.5286110834556376,0.5643828758317817,0.6145835327664114,32.9371080002721,79.89400256931555,13.352272727272727,1.0085227272727273,-0.34801136363636365
TopoIWL-Net PVTv2-B2,ok,experiments/remote_glh_pvtv2_b2_sota120/metrics_test_val_best_bf1.csv,0.5530333567341135,0.5913701165032237,0.47330071479929053,51.25559618318816,162.01263071495276,6.829545454545454,10.025568181818182,8.669034090909092
